id,name,slug,uic,uic8_sncf,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,cp_id
1,Aveiro,city-aveiro,,,40.28605204,-8.425728672,,PT,Europe/Lisbon,True,False,False,
2,Beja,city-beja,,,38.23271711,-8.000018212,,PT,Europe/Lisbon,True,False,False,
3,Braga,city-braga,,,41.3512482,-8.526193832,,PT,Europe/Lisbon,True,False,False,
4,Braganca,city-braganca,,,41.13027423,-7.123485307,,PT,Europe/Lisbon,True,False,False,
5,Castelo Branco,city-castelo-branco,,,39.75638119,-7.62375233,,PT,Europe/Lisbon,True,False,False,
6,Castille and Leon,city-castille-and-leon,,,40.5932566,-6.904449569,,ES,Europe/Lisbon,True,False,False,
7,Coimbra,city-coimbra,,,40.01078049,-8.633531613,,PT,Europe/Lisbon,True,False,False,
8,Evora,city-evora,,,38.66228912,-8.619061162,,PT,Europe/Lisbon,True,False,False,
9,Extremadura,city-extremadura,,,39.71676094,-7.681784545,,ES,Europe/Lisbon,True,False,False,
10,Faro,city-faro,,,37.02021,-7.9412003,,PT,Europe/Lisbon,True,False,False,
11,Galicia,city-galicia,,,41.86965332,-8.8433629,,ES,Europe/Lisbon,True,False,False,
12,Guarda,city-guarda,,,41.14452354,-7.331569875,,PT,Europe/Lisbon,True,False,False,
13,Leiria,city-leiria,,,39.7936189,-8.589297528,,PT,Europe/Lisbon,True,False,False,
14,Lisboa,city-lisboa,,,38.71584,-9.120748,,PT,Europe/Lisbon,True,False,False,
15,Portalegre,city-portalegre,,,39.48197647,-8.001238005,,PT,Europe/Lisbon,True,False,False,
16,Porto,city-porto,,,41.14556679,-8.610221145,,PT,Europe/Lisbon,True,False,False,
17,Santarem,city-santarem,,,39.11358947,-8.777962337,,PT,Europe/Lisbon,True,False,False,
18,Setubal,city-setubal,,,38.66616944,-9.179573483,,PT,Europe/Lisbon,True,False,False,
19,Viana do Castelo,city-viana-do-castelo,,,41.64627095,-8.701119145,,PT,Europe/Lisbon,True,False,False,
20,Vila Real,city-vila-real,,,41.12187999,-7.910713653,,PT,Europe/Lisbon,True,False,False,
21,Viseu,city-viseu,,,41.10361527,-8.090986297,,PT,Europe/Lisbon,True,False,False,
22,Porto Sao Bento,porto-sao-bento,941008,,41.14556679,-8.610221145,16.0,PT,Europe/Lisbon,False,False,False,94_1008
23,Porto Campanha,porto-campanha,942006,,41.14871926,-8.584835348,16.0,PT,Europe/Lisbon,False,False,False,94_2006
24,Contumil,contumil,943004,,41.16871141,-8.574777658,16.0,PT,Europe/Lisbon,False,False,False,94_3004
25,Rio Tinto,rio-tinto,943038,,41.18459158,-8.557095957,16.0,PT,Europe/Lisbon,False,False,False,94_3038
26,Aguas Santas - Palmilheira,aguas-santas-palmilheira,943046,,41.20173,-8.55674,16.0,PT,Europe/Lisbon,False,False,False,94_3046
27,Ermesinde,ermesinde,944002,,41.21703724,-8.554192457,16.0,PT,Europe/Lisbon,False,False,False,94_4002
28,Travagem,travagem,944010,,41.22833283,-8.551720165,16.0,PT,Europe/Lisbon,False,False,False,94_4010
29,Leandro,leandro,944036,,41.24376571,-8.556680902,16.0,PT,Europe/Lisbon,False,False,False,94_4036
30,Sao Frutuoso,sao-frutuoso,944051,,41.25835633,-8.558143032,16.0,PT,Europe/Lisbon,False,False,False,94_4051
31,Sao Romao,sao-romao,944077,,41.278255,-8.553094,16.0,PT,Europe/Lisbon,False,False,False,94_4077
32,Portela,portela,944101,,41.301502,-8.54909,16.0,PT,Europe/Lisbon,False,False,False,94_4101
33,Trofa,trofa,944630,,41.337437,-8.547573,16.0,PT,Europe/Lisbon,False,False,False,94_4630
34,Lousado,lousado,945009,,41.3512482,-8.526193832,3.0,PT,Europe/Lisbon,False,False,False,94_5009
35,Esmeriz,esmeriz,945033,,41.37950789,-8.521499279,3.0,PT,Europe/Lisbon,False,False,False,94_5033
36,Barrimau,barrimau,945058,,41.38983612,-8.526119758,3.0,PT,Europe/Lisbon,False,False,False,94_5058
37,Famalicao,famalicao,945074,,41.40495653,-8.529522021,3.0,PT,Europe/Lisbon,False,False,False,94_5074
38,Mouquim,mouquim,945108,,41.42894219,-8.522012347,3.0,PT,Europe/Lisbon,False,False,False,94_5108
39,Louro,louro,945116,,41.43696435,-8.538176287,3.0,PT,Europe/Lisbon,False,False,False,94_5116
40,Nine,nine,946007,,41.45546082,-8.54506881,3.0,PT,Europe/Lisbon,False,False,False,94_6007
41,Carreira,carreira,946056,,41.48679299,-8.563958669,3.0,PT,Europe/Lisbon,False,False,False,94_6056
42,Midoes,midoes,946080,,41.50825966,-8.581835077,3.0,PT,Europe/Lisbon,False,False,False,94_6080
43,Barcelos,barcelos,946122,,41.53664495,-8.608985454,3.0,PT,Europe/Lisbon,False,False,False,94_6122
44,Silva,silva,946155,,41.56592973,-8.627669074,3.0,PT,Europe/Lisbon,False,False,False,94_6155
45,Carapecos,carapecos,946197,,41.58561592,-8.632905954,3.0,PT,Europe/Lisbon,False,False,False,94_6197
46,Tamel,tamel,946213,,41.60880665,-8.634752401,3.0,PT,Europe/Lisbon,False,False,False,94_6213
47,Durraes,durraes,946262,,41.63909631,-8.666998185,3.0,PT,Europe/Lisbon,False,False,False,94_6262
48,Barroselas,barroselas,946304,,41.64627095,-8.701119145,19.0,PT,Europe/Lisbon,False,False,False,94_6304
49,Senhora das Neves,senhora-das-neves,946312,,41.64670655,-8.720968149,19.0,PT,Europe/Lisbon,False,False,False,94_6312
50,Alvaraes,alvaraes,946338,,41.64845736,-8.739572945,19.0,PT,Europe/Lisbon,False,False,False,94_6338
51,Darque,darque,946387,,41.68023019,-8.781894945,19.0,PT,Europe/Lisbon,False,False,False,94_6387
52,Areia - Darque,areia-darque,946395,,41.684147,-8.799283419,19.0,PT,Europe/Lisbon,False,False,False,94_6395
53,Valenca,valenca,947005,,42.02467731,-8.639418501,19.0,PT,Europe/Lisbon,False,False,False,94_7005
54,Cabeda,cabeda,948029,,41.22065745,-8.536105639,16.0,PT,Europe/Lisbon,False,False,False,94_8029
55,Suzao,suzao,948060,,41.1973023,-8.502715022,16.0,PT,Europe/Lisbon,False,False,False,94_8060
56,Valongo,valongo,948086,,41.18826042,-8.487369937,16.0,PT,Europe/Lisbon,False,False,False,94_8086
57,Sao Martinho do Campo,sao-martinho-do-campo,948102,,41.1702346,-8.468335709,16.0,PT,Europe/Lisbon,False,False,False,94_8102
58,Terronhas,terronhas,948136,,41.16371817,-8.437251201,16.0,PT,Europe/Lisbon,False,False,False,94_8136
59,Trancoso,trancoso,948151,,41.16125912,-8.418932929,16.0,PT,Europe/Lisbon,False,False,False,94_8151
60,Recarei - Sobreira,recarei-sobreira,948177,,41.15378337,-8.399091735,16.0,PT,Europe/Lisbon,False,False,False,94_8177
61,Parada,parada,948201,,41.16023261,-8.371261014,16.0,PT,Europe/Lisbon,False,False,False,94_8201
62,Cete,cete,948227,,41.17220134,-8.354048021,16.0,PT,Europe/Lisbon,False,False,False,94_8227
63,Irivo,irivo,948243,,41.18161769,-8.342020175,16.0,PT,Europe/Lisbon,False,False,False,94_8243
64,Oleiros,oleiros,948250,,41.19368554,-8.33743985,16.0,PT,Europe/Lisbon,False,False,False,94_8250
65,Paredes,paredes,948276,,41.20387157,-8.324092555,16.0,PT,Europe/Lisbon,False,False,False,94_8276
66,Penafiel,penafiel,948318,,41.21775952,-8.294931944,16.0,PT,Europe/Lisbon,False,False,False,94_8318
67,Bustelo,bustelo,948334,,41.23526802,-8.274898634,16.0,PT,Europe/Lisbon,False,False,False,94_8334
68,Meinedo,meinedo,948359,,41.2487667,-8.258721616,16.0,PT,Europe/Lisbon,False,False,False,94_8359
69,Caide,caide,948383,,41.25255622,-8.226812614,16.0,PT,Europe/Lisbon,False,False,False,94_8383
70,Oliveira,oliveira,948409,,41.2572249,-8.19927902,16.0,PT,Europe/Lisbon,False,False,False,94_8409
71,Vila Mea,vila-mea,948433,,41.24532896,-8.184320098,16.0,PT,Europe/Lisbon,False,False,False,94_8433
72,Recesinhos,recesinhos,948441,,41.23058351,-8.174801042,16.0,PT,Europe/Lisbon,False,False,False,94_8441
73,Livracao,livracao,948474,,41.21686743,-8.155659207,16.0,PT,Europe/Lisbon,False,False,False,94_8474
74,Marco de Canaveses,marco-de-canaveses,949001,,41.18096122,-8.136875035,16.0,PT,Europe/Lisbon,False,False,False,94_9001
75,Juncal,juncal,949050,,41.14066597,-8.119414618,16.0,PT,Europe/Lisbon,False,False,False,94_9050
76,Pala,pala,949100,,41.10361527,-8.090986297,21.0,PT,Europe/Lisbon,False,False,False,94_9100
77,Mosteiro,mosteiro,949134,,41.09458735,-8.06934077,21.0,PT,Europe/Lisbon,False,False,False,94_9134
78,Aregos,aregos,949191,,41.10637923,-8.007400147,21.0,PT,Europe/Lisbon,False,False,False,94_9191
79,Mirao,mirao,949225,,41.11751888,-7.972797311,21.0,PT,Europe/Lisbon,False,False,False,94_9225
80,Ermida,ermida,949258,,41.12429079,-7.950866322,21.0,PT,Europe/Lisbon,False,False,False,94_9258
81,Porto Rei,porto-rei,949282,,41.12187999,-7.910713653,20.0,PT,Europe/Lisbon,False,False,False,94_9282
